학교명,위도,경도,구
서울신상도초등학교,37.50034802,126.9446159,동작구
서울은빛초등학교,37.64266166,126.9190801,은평구
화랑초등학교,37.62878266,127.0889915,노원구
서울신목초등학교,37.51661098,126.8726408,양천구
서울월정초등학교,37.53499419,126.8362936,강서구
서울서강초등학교,37.54869715,126.9268512,마포구
서울북가좌초등학교,37.57722021,126.9077782,서대문구
서울행당초등학교,37.55701913,127.0348734,성동구
서울대명초등학교,37.54766615,127.1532897,강동구
서울고산초등학교,37.49897255,126.8647727,구로구
서울동신초등학교,37.58328787,127.017058,성북구
서울공릉초등학교,37.61861444,127.0746314,노원구
서울영본초등학교,37.51129869,126.9486724,동작구
서울영신초등학교,37.51017196,126.9181917,영등포구
서울수명초등학교,37.55277267,126.8238445,강서구
서울매봉초등학교,37.50491523,126.8443653,구로구
