id,lat,lng,households,buildDate,score,m2,p,min_sales,max_sales,avg_sales
1432,37.65930148,127.0305268,192,199311,3.8,101,31,50240,50240,50400
4512,37.65400725,127.0423646,694,198711,3.6,60,18,24800,58560,44800
6002,37.6208004,127.0113907,2075,200408,3.8,74,22,44160,68160,56800
744,37.66028705,127.0230563,210,199209,3.4,93,28,47200,47840,47200
10951,37.65604426,127.0401264,123,200511,4.3,64,19,41440,41440,41600
142,37.65906282,127.0334733,690,199009,4,48,15,25440,53440,39200
13932,37.6531669,127.0441183,427,198802,3.9,63,19,26880,53600,36800
12061,37.65831252,127.0357985,136,199812,4.7,86,26,46400,57440,50400
8139,37.65579173,127.0408697,205,200005,4.7,79,24,47200,64800,55200
4301,37.65891451,127.0353545,38,199906,3.7,259,78,113440,114560,113600
462,37.66005799,127.0316967,489,199109,3.6,63,19,31040,54400,38400
2173,37.62482893,127.0446272,202,200012,4.3,79,24,39200,47680,44800
24848,37.65757634,127.0388852,57,200403,3.5,52,16,14400,72800,51200
740,37.66066765,127.0293986,3169,198612,3.8,62,19,21280,73120,36800
5863,37.61720574,127.0221052,216,199810,3.9,85,26,47680,78400,59200
38154,37.6187858,127.034388,1028,201909,5,62,19,63200,153600,96000
